slug,image_path,is_primary
vid-black-orange,vid/vid-black-orange_1_KYVBRyR6OzTUA1P83kpoXryfH1qB3CtWRGkUyDLF.webp,True
vid-coffee-caramel-strong,vid/vid-coffee-caramel-strong_1_780QArEI29Rb60jM8OiiqohZxUtzncgdL9g00nWi.webp,True
vid-cola-sour-strong,vid/vid-cola-sour-strong_1_wp1ndPotKXRd1Be0XdnERNUZnQS9ZcE4s7zaoYJk.webp,True
vid-crispy-mint-strong,vid/vid-crispy-mint-strong_1_gWNyMR0t9ekI8o9I7RExcCLLH77PsNUDkBa71Dhg.webp,True
vid-watermelon,vid/vid-watermelon_1_voi1vtqCq57v4VMTPkb3Kuj175bpUCJhABvJvBf8.webp,True
vid-blueberry-strong,vid/vid-blueberry-strong_1_QljhBJyZXcEzbxVUV6SuVFHv4CLkMhaRrFFK1OZi.webp,True
avant-cool-mint-extra-strong,avant/avant-cool-mint-extra-strong_1_Vho8pCjVzGFR8k1vIGGmalj3DX1vdHjbPYh8hLbr.webp,True
avant-frozen-berries-strong,avant/avant-frozen-berries-strong_1_gVxM7zMNmGErmvYC0M8N3Sq8lCRVmdkCdCFN3oSV.webp,True
avant-cool-iced-apple-strong,avant/avant-cool-iced-apple-strong_1_MfafpNqmovSPag7aQxXBpDuSwTn9RXRn2pecXiMG.webp,True
avant-cool-ice-tea-strong,avant/avant-cool-ice-tea-strong_1_wa1qU5j6SKmeq1lEHZRMVhrOcfwsKs7fN4TAhwAI.webp,True
avant-caffe-mocha-normal,avant/avant-caffe-mocha-normal_1_I8iKu5uV5HDSWwcSFKWHqIhHmqxaMC6BD7seG7nw.webp,True
stng-mellow-mint-en,stng/stng-mellow-mint-en_1_2hYiHWcCOA2KoCqViUmZ2W7g4Ghl7jpo0wrT2TkW.png,True
stng-mellow-mint-en,stng/stng-mellow-mint-en_2_2hYiHWcCOA2KoCqViUmZ2W7g4Ghl7jpo0wrT2TkW.png,False
stng-mellow-mint-en,stng/stng-mellow-mint-en_3_WACZVreV1ZUEZY8xLnIchevS5Mndi8lKI4D2ztpW.png,False
stng-mellow-mint-en,stng/stng-mellow-mint-en_4_Ualq2Bgh7iz5cPkImz7oJ5aAxc534CqYzYVv2mq6.png,False
stng-raspberry-max-en,stng/stng-raspberry-max-en_1_EM6DIcHXHxd1ExE9Wo4ML60geT1RnBQS9siARiYy.png,True
stng-raspberry-max-en,stng/stng-raspberry-max-en_2_EM6DIcHXHxd1ExE9Wo4ML60geT1RnBQS9siARiYy.png,False
stng-raspberry-max-en,stng/stng-raspberry-max-en_3_bhN4PIK1fBg5U4QxNbgaXKcZf18jrYgeI7K5dbve.png,False
stng-raspberry-max-en,stng/stng-raspberry-max-en_4_f3SRCYIZAZ05YclwnWlfD1UUuSjZsNimPR6khNgU.png,False
stng-double-mint-max-en,stng/stng-double-mint-max-en_1_6WDEsJGWs9P1RmyEF4tw1tvBssQwonoXTvWzeqh4.png,True
stng-double-mint-max-en,stng/stng-double-mint-max-en_2_6WDEsJGWs9P1RmyEF4tw1tvBssQwonoXTvWzeqh4.png,False
stng-double-mint-max-en,stng/stng-double-mint-max-en_3_1Fyy0AjyQuKDz5astNFXvE4QtTubGV131Muon1rU.png,False
stng-double-mint-max-en,stng/stng-double-mint-max-en_4_2CW2nZEZdPHTCkXzW4RwyjR5YZDgUSB67mEJzXEj.png,False
stng-cola-cherry-max-en,stng/stng-cola-cherry-max-en_1_sOOuxdrXmDyRnjI0bPgN3gOPuk2MBJ4VhFs9zyxT.png,True
stng-cola-cherry-max-en,stng/stng-cola-cherry-max-en_2_sOOuxdrXmDyRnjI0bPgN3gOPuk2MBJ4VhFs9zyxT.png,False
stng-cola-cherry-max-en,stng/stng-cola-cherry-max-en_3_BigQRwRzSK23gD7b6tqlnhy0L9OG4s6OaCpnMJ3j.png,False
stng-cola-cherry-max-en,stng/stng-cola-cherry-max-en_4_6nQTbLq5be5WpNXDvltNtRzmV46Yl7olO26VRx6E.png,False
stng-bubble-max-en,stng/stng-bubble-max-en_1_10eTt5XvcTenWVyUPq9qPdJgmRnd57zkfOEVCALX.png,True
stng-bubble-max-en,stng/stng-bubble-max-en_2_10eTt5XvcTenWVyUPq9qPdJgmRnd57zkfOEVCALX.png,False
stng-bubble-max-en,stng/stng-bubble-max-en_3_y7Hi7sIlHn6Ll3xPvMksvbXCTX7GHk5fkn5aVLBf.png,False
stng-bubble-max-en,stng/stng-bubble-max-en_4_bg1bVJ6WrDEhfpf6F8JVasjNFy7THjzb9upH9CU7.png,False
stng-berry-seltzer-max-en,stng/stng-berry-seltzer-max-en_1_4LwpBZM9BiN1KKEKkh9Vt1i4WPk1jfbrjI25zA5K.png,True
stng-berry-seltzer-max-en,stng/stng-berry-seltzer-max-en_2_4LwpBZM9BiN1KKEKkh9Vt1i4WPk1jfbrjI25zA5K.png,False
stng-berry-seltzer-max-en,stng/stng-berry-seltzer-max-en_3_xFKGLoKwSl6bzWfoKuUZcLV50huQ5sWaEwWQLJlj.png,False
stng-berry-seltzer-max-en,stng/stng-berry-seltzer-max-en_4_OFznmuhWzCisqpUqjli0Y9y2FDn1d27gWYr1jozd.png,False
stng-berry-seltzer-max-en,stng/stng-berry-seltzer-max-en_5_mx0d0r7twiEY784OD8HAgesfxHpLEtubsaeOY9Gr.png,False
stng-berry-seltzer-max-en,stng/stng-berry-seltzer-max-en_6_3bfrExZZAtQtTdTsrfguqDMr9zNetdn9cJ7nMSbR.png,False
stng-berry-seltzer-en,stng/stng-berry-seltzer-en_1_QA7igHCJDPEuhoI9m13zbwUxgTHJTsln8PSg4QqI.png,True
stng-berry-seltzer-en,stng/stng-berry-seltzer-en_2_QA7igHCJDPEuhoI9m13zbwUxgTHJTsln8PSg4QqI.png,False
stng-berry-seltzer-en,stng/stng-berry-seltzer-en_3_4NMLblpCnIvbLUOjeiEH6pEmJcGxHSquaeyPoOHp.png,False
stng-berry-seltzer-en,stng/stng-berry-seltzer-en_4_vzkI1JhmbiOGzS2ahvrtDrG3wMxYMUP9A27sISYg.png,False
stng-berry-seltzer-en,stng/stng-berry-seltzer-en_5_J5kqYUewaZs4raT1GALQiJdR38bVR0EcKqnPz3Cn.png,False
zeus-bubblegum-strong,zeus/zeus-bubblegum-strong_1_n079qE14T6q9p9bncggaKmCLGEJxJcQusnHsgqkv.webp,True
zeus-bubblegum-strong,zeus/zeus-bubblegum-strong_2_n079qE14T6q9p9bncggaKmCLGEJxJcQusnHsgqkv.webp,False
zeus-bubblegum-strong,zeus/zeus-bubblegum-strong_3_IYU5vY2vSt3bSZ2vPLeqHwjHXgBbu3owD8KdA1Ht.webp,False
zeus-bubblegum-strong,zeus/zeus-bubblegum-strong_4_BxlMtBlbv3MIiJOKnvoHHgBfOI8LBt2kIO5L99z9.webp,False
zeus-bubblegum-strong,zeus/zeus-bubblegum-strong_5_SNiKubvCJOwzMJdPKjo07RVnJXhg22SdXdmrRgb3.webp,False
zeus-epic-berry-strong,zeus/zeus-epic-berry-strong_1_JSrKqI9sfILVyfKQzR1qLs28WFlQSG173KBcWaXq.webp,True
zeus-epic-berry-strong,zeus/zeus-epic-berry-strong_2_JSrKqI9sfILVyfKQzR1qLs28WFlQSG173KBcWaXq.webp,False
zeus-epic-berry-strong,zeus/zeus-epic-berry-strong_3_yazOd8MxvhM4NUbnC96DpJXRm0Cb4h2nLEfrhOWE.webp,False
zeus-epic-berry-strong,zeus/zeus-epic-berry-strong_4_dk1NeAUL9Tnzoi8HD80b1sRC1I9lOijsVW44okg7.webp,False
zeus-epic-berry-strong,zeus/zeus-epic-berry-strong_5_UlD8VhLWyYY3W4JErd3TopOWTEFdWFpo4bSShPts.webp,False
zeus-cherry-blossom-strong,zeus/zeus-cherry-blossom-strong_1_INBCngpfi5CpMZhPJ6jgvZkKSoNRp6bLgUEauN38.webp,True
zeus-cherry-blossom-strong,zeus/zeus-cherry-blossom-strong_2_INBCngpfi5CpMZhPJ6jgvZkKSoNRp6bLgUEauN38.webp,False
zeus-cherry-blossom-strong,zeus/zeus-cherry-blossom-strong_3_NItNzEN8AmsnVLARE2Tfuj8Hm7yzWtMgd69ffsuN.webp,False
zeus-cherry-blossom-strong,zeus/zeus-cherry-blossom-strong_4_jHup3GRvnXvbyco5WW3zGwGQQ4DbRIyphI8aUt6I.webp,False
zeus-cherry-blossom-strong,zeus/zeus-cherry-blossom-strong_5_gmTVZLQnseup855Y4QvvRSRwVKYABo2LnTU2Sijd.webp,False
loop-hot-peach-hyper-strong,loop/loop-hot-peach-hyper-strong_1_ZWE3lM6YS5c1ArXCh9QUpbzsr9lu9FziCZlE7BvB.webp,True
loop-hot-peach-hyper-strong,loop/loop-hot-peach-hyper-strong_2_ZWE3lM6YS5c1ArXCh9QUpbzsr9lu9FziCZlE7BvB.webp,False
loop-hot-peach-hyper-strong,loop/loop-hot-peach-hyper-strong_3_cSwZliG74ndTXrPHoDGDIPeZ9EvYkmCxk0kR2RHe.webp,False
loop-creamy-cappuccino-mini,loop/loop-creamy-cappuccino-mini_1_68ItVpwQ2N7udQSshtRKS4Sx5DYWUGcBIMO0O8WM.webp,True
loop-creamy-cappuccino-mini,loop/loop-creamy-cappuccino-mini_2_68ItVpwQ2N7udQSshtRKS4Sx5DYWUGcBIMO0O8WM.webp,False
loop-creamy-cappuccino-mini,loop/loop-creamy-cappuccino-mini_3_w25L0EUUv1SWVMFAMkiwBOY39WLGB1l4FgLxOSFb.webp,False
loop-hot-peach-mini,loop/loop-hot-peach-mini_1_xvTnmvSsSAo0fBkuzttARTI2lTTVig2JBYKJj5dv.webp,True
loop-hot-peach-mini,loop/loop-hot-peach-mini_2_xvTnmvSsSAo0fBkuzttARTI2lTTVig2JBYKJj5dv.webp,False
loop-hot-peach-mini,loop/loop-hot-peach-mini_3_odikQ5FEnq57snKvJ17cm3zqZlZKd1GL7udqnHqH.webp,False
zyn-violet-licorice-slim-s3,zyn/zyn-violet-licorice-slim-s3_1_SozXYaGFOfONjFpypVrsuvaBWakrsnjMVCl2nW7f.webp,True
zyn-violet-licorice-slim-s3,zyn/zyn-violet-licorice-slim-s3_2_SozXYaGFOfONjFpypVrsuvaBWakrsnjMVCl2nW7f.webp,False
zyn-violet-licorice-slim-s3,zyn/zyn-violet-licorice-slim-s3_3_an72o0Ict3VG5viTEsWyDVVrRywwfldI1Bhhk56u.webp,False
zyn-spearmint-slim-s3,zyn/zyn-spearmint-slim-s3_1_an3BpongNiwF42WsoUKXHkOQvIoS3WScpJRN7Rrb.webp,True
zyn-spearmint-slim-s3,zyn/zyn-spearmint-slim-s3_2_an3BpongNiwF42WsoUKXHkOQvIoS3WScpJRN7Rrb.webp,False
